,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
STATE,STORE,WEEK,SESSION,PROPOSITION,CUST_ID,ACTIVE_SUB,ACTUAL_SALES,FORECAST_SALES,ACTUAL_ORDERS,FORECAST_ORDERS
NSW,1,1,Morning,pick-up,27,0,350,305,70,72
NSW,1,1,Morning,delivery,27,0,145,173,29,27
NSW,1,1,Morning,in-store,17,1,250,235,50,49
NSW,1,1,Afternoon,pick-up,49,0,66,35,22,19
NSW,1,1,Afternoon,delivery,10,0,100,136,25,24
NSW,1,1,Afternoon,in-store,2,0,70,107,14,14
NSW,1,1,Night,pick-up,31,1,243,214,81,81
NSW,1,1,Night,delivery,40,1,364,378,91,95
NSW,1,1,Night,in-store,37,1,297,286,99,99
NSW,1,2,Morning,pick-up,8,1,272,313,68,71
NSW,1,2,Morning,delivery,2,1,243,224,81,78
NSW,1,2,Morning,in-store,30,1,168,173,56,58
NSW,1,2,Afternoon,pick-up,1,0,165,126,55,52
NSW,1,2,Afternoon,delivery,35,1,95,137,19,17
NSW,1,2,Afternoon,in-store,16,1,155,162,31,29
NSW,1,2,Night,pick-up,9,0,219,221,73,73
NSW,1,2,Night,delivery,25,0,340,307,68,63
NSW,1,2,Night,in-store,45,0,78,84,26,29
NSW,1,3,Morning,pick-up,33,0,195,167,65,68
NSW,1,3,Morning,delivery,47,1,228,194,57,53
NSW,1,3,Morning,in-store,46,0,320,295,80,85
NSW,1,3,Afternoon,pick-up,36,1,192,224,64,63
NSW,1,3,Afternoon,delivery,22,1,184,164,46,46
NSW,1,3,Afternoon,in-store,46,1,252,291,63,59
NSW,1,3,Night,pick-up,13,0,60,87,20,25
NSW,1,3,Night,delivery,43,0,300,343,60,62
NSW,1,3,Night,in-store,36,0,200,186,40,45
NSW,1,4,Morning,pick-up,35,0,60,69,12,13
NSW,1,4,Morning,delivery,26,1,108,74,36,34
NSW,1,4,Morning,in-store,27,1,255,216,51,51
NSW,1,4,Afternoon,pick-up,35,1,275,299,55,52
NSW,1,4,Afternoon,delivery,2,0,231,277,77,78
NSW,1,4,Afternoon,in-store,23,0,356,365,89,93
NSW,1,4,Night,pick-up,16,0,475,454,95,92
NSW,1,4,Night,delivery,20,1,168,118,42,37
NSW,1,4,Night,in-store,33,0,372,379,93,97
VIC,2,1,Morning,pick-up,44,1,396,402,99,104
VIC,2,1,Morning,delivery,12,0,345,327,69,73
VIC,2,1,Morning,in-store,42,1,210,185,42,42
VIC,2,1,Afternoon,pick-up,18,0,440,444,88,84
VIC,2,1,Afternoon,delivery,33,1,172,209,43,45
VIC,2,1,Afternoon,in-store,25,0,336,352,84,89
VIC,2,1,Night,pick-up,12,1,470,473,94,94
VIC,2,1,Night,delivery,38,0,258,292,86,83
VIC,2,1,Night,in-store,22,0,275,324,55,54
VIC,2,2,Morning,pick-up,25,0,350,373,70,70
VIC,2,2,Morning,delivery,37,0,54,100,18,14
VIC,2,2,Morning,in-store,12,0,265,273,53,52
VIC,2,2,Afternoon,pick-up,1,0,275,264,55,54
VIC,2,2,Afternoon,delivery,30,0,188,186,47,43
VIC,2,2,Afternoon,in-store,15,1,245,273,49,46
VIC,2,2,Night,pick-up,48,0,335,364,67,64
VIC,2,2,Night,delivery,12,1,160,159,32,32
VIC,2,2,Night,in-store,41,1,304,276,76,79
VIC,2,3,Morning,pick-up,22,0,205,212,41,44
VIC,2,3,Morning,delivery,15,0,116,81,29,34
VIC,2,3,Morning,in-store,47,0,204,226,51,48
VIC,2,3,Afternoon,pick-up,6,1,228,192,57,52
VIC,2,3,Afternoon,delivery,6,0,180,180,60,61
VIC,2,3,Afternoon,in-store,42,0,205,215,41,41
VIC,2,3,Night,pick-up,39,1,117,71,39,44
VIC,2,3,Night,delivery,27,1,235,254,47,47
VIC,2,3,Night,in-store,33,1,324,368,81,77
VIC,2,4,Morning,pick-up,43,0,400,356,80,85
VIC,2,4,Morning,delivery,9,0,75,32,25,20
VIC,2,4,Morning,in-store,25,0,260,309,65,64
VIC,2,4,Afternoon,pick-up,37,0,42,66,14,19
VIC,2,4,Afternoon,delivery,12,1,95,65,19,16
VIC,2,4,Afternoon,in-store,10,1,268,292,67,64
VIC,2,4,Night,pick-up,32,0,116,101,29,27
VIC,2,4,Night,delivery,40,1,204,209,68,73
VIC,2,4,Night,in-store,41,1,76,73,19,22
SA,3,1,Morning,pick-up,50,0,72,29,24,19
SA,3,1,Morning,delivery,47,1,215,227,43,48
SA,3,1,Morning,in-store,14,1,144,123,36,32
SA,3,1,Afternoon,pick-up,3,1,375,387,75,78
SA,3,1,Afternoon,delivery,18,1,65,71,13,11
SA,3,1,Afternoon,in-store,20,1,51,84,17,19
SA,3,1,Night,pick-up,39,0,268,266,67,72
SA,3,1,Night,delivery,38,1,112,117,28,33
SA,3,1,Night,in-store,28,1,405,396,81,86
SA,3,2,Morning,pick-up,10,1,380,366,76,81
SA,3,2,Morning,delivery,9,1,356,359,89,94
SA,3,2,Morning,in-store,44,0,490,464,98,98
SA,3,2,Afternoon,pick-up,18,0,216,170,54,54
SA,3,2,Afternoon,delivery,21,0,18,-14,6,9
SA,3,2,Afternoon,in-store,1,0,340,306,68,72
SA,3,2,Night,pick-up,30,0,228,229,57,62
SA,3,2,Night,delivery,39,1,156,116,39,41
SA,3,2,Night,in-store,44,1,352,369,88,86
SA,3,3,Morning,pick-up,26,0,360,400,72,71
SA,3,3,Morning,delivery,1,1,376,337,94,96
SA,3,3,Morning,in-store,16,1,141,120,47,47
SA,3,3,Afternoon,pick-up,24,0,90,44,30,29
SA,3,3,Afternoon,delivery,33,0,164,130,41,40
SA,3,3,Afternoon,in-store,11,1,104,131,26,21
SA,3,3,Night,pick-up,7,1,24,57,8,4
SA,3,3,Night,delivery,21,1,248,240,62,62
SA,3,3,Night,in-store,2,0,111,140,37,37
SA,3,4,Morning,pick-up,49,1,340,304,85,80
SA,3,4,Morning,delivery,17,1,129,112,43,42
SA,3,4,Morning,in-store,4,0,249,228,83,80
SA,3,4,Afternoon,pick-up,43,1,405,397,81,80
SA,3,4,Afternoon,delivery,41,1,108,74,36,40
SA,3,4,Afternoon,in-store,33,0,140,174,28,24
SA,3,4,Night,pick-up,30,1,294,268,98,95
SA,3,4,Night,delivery,45,1,160,192,40,35
SA,3,4,Night,in-store,23,1,273,270,91,88
