STATE,STORE,WEEK,SESSION,PROPOSITION,SALES,CUST_ID,ACTIVE_SUB,,
NSW,1,1,Morning,pick-up,230,70,1,,
NSW,1,1,Morning,delivery,152,26,0,,
NSW,1,1,Morning,in-store,336,50,1,,
NSW,1,1,Afternoon,pick-up,304,13,0,,
NSW,1,1,Afternoon,delivery,297,33,0,,
NSW,1,1,Afternoon,in-store,116,54,0,,
NSW,1,1,Night,pick-up,271,25,1,,
NSW,1,1,Night,delivery,132,51,1,,
NSW,1,1,Night,delivery,117,41,1,,
NSW,1,1,Night,delivery,276,67,0,,
NSW,1,1,Night,delivery,185,34,1,,
NSW,1,1,Night,in-store,352,27,1,,
NSW,1,2,Morning,pick-up,271,28,1,,
NSW,1,2,Morning,delivery,395,25,0,,
NSW,1,2,Morning,in-store,149,29,1,,
NSW,1,2,Afternoon,pick-up,241,62,1,,
NSW,1,2,Afternoon,delivery,255,11,0,,
NSW,1,2,Afternoon,in-store,156,20,0,,
NSW,1,2,Night,pick-up,296,18,0,,
NSW,1,2,Night,delivery,393,65,0,,
NSW,1,2,Night,in-store,231,69,1,,
NSW,1,2,Night,delivery,134,8,0,,
NSW,1,2,Night,delivery,236,43,1,,
NSW,1,2,Night,in-store,189,45,0,,
NSW,1,3,Morning,pick-up,219,42,1,,
NSW,1,3,Morning,delivery,345,14,0,,
NSW,1,3,Morning,in-store,266,20,0,,
NSW,1,3,Afternoon,pick-up,267,23,0,,
NSW,1,3,Afternoon,delivery,327,0,1,,
NSW,1,3,Afternoon,in-store,245,45,0,,
NSW,1,3,Night,pick-up,139,28,1,,
NSW,1,3,Night,delivery,193,33,0,,
NSW,1,3,Night,in-store,330,10,0,,
NSW,1,3,Night,delivery,127,45,0,,
NSW,1,3,Night,delivery,308,13,0,,
NSW,1,3,Night,in-store,162,31,1,,
NSW,1,4,Morning,pick-up,244,49,1,,
NSW,1,4,Morning,delivery,268,29,0,,
NSW,1,4,Morning,in-store,381,44,0,,
NSW,1,4,Afternoon,pick-up,364,44,1,,
NSW,1,4,Afternoon,delivery,290,33,1,,
NSW,1,4,Afternoon,in-store,325,58,1,,
NSW,1,4,Night,pick-up,276,57,1,,
NSW,1,4,Night,delivery,312,63,1,,
NSW,1,4,Night,in-store,257,11,0,,
NSW,1,4,Night,delivery,278,20,0,,
NSW,1,4,Night,delivery,102,30,1,,
NSW,1,4,Night,in-store,274,9,1,,
VIC,2,1,Morning,pick-up,115,51,0,,
VIC,2,1,Morning,delivery,302,52,1,,
VIC,2,1,Morning,in-store,387,35,1,,
VIC,2,1,Afternoon,pick-up,213,5,0,,
VIC,2,1,Afternoon,delivery,100,33,1,,
VIC,2,1,Afternoon,in-store,239,27,0,,
VIC,2,1,Night,pick-up,227,53,1,,
VIC,2,1,Night,delivery,270,30,0,,
VIC,2,1,Night,in-store,319,14,1,,
VIC,2,1,Night,delivery,339,65,1,,
VIC,2,1,Night,delivery,376,17,1,,
VIC,2,1,Night,in-store,169,6,0,,
VIC,2,2,Morning,pick-up,160,10,1,,
VIC,2,2,Morning,delivery,234,31,1,,
VIC,2,2,Morning,in-store,293,35,0,,
